Cohort 19 (Fall 2024 Schedule),,,,,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,,,,,,,Class time start at 7:30 a.m. and end at 10:30 a.m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 1,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 6,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 13,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 20,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 26,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 33,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 39,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
5,W,8/21/2024,,HTML & CSS,HTML Introduction,Curtis D.,,9,W,9/25/2024,,JAVASCRIPT,Object Oriented Programming (OOP),Trevor M.,,12,W,11/13/2024,,REACT.js,Hooks,Trevor M.,,CAMPUS CLOSED,W,12/25/2024,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,4,W,2/5/2025,,HOSTING - DAY 4,"AWS Cloud Security, Networking & Content Delivery",Clint P.,,3,W,3/26/2025,,ANGULAR,Day #5: Navigation and Routing Basics,Adrien D.,,30,W,5/7/2025,,ANGULAR,Day #32: Ionic - Capacitor Plugins,Todd H.
6,TH,8/22/2024,,HTML & CSS,HTML Layout and Positioning,Trent R.,,10,TH,9/26/2024,,JAVASCRIPT,Scope and Hoisting,Moses K.,,13,TH,11/14/2024,,REACT.js,Component Libraries and Class Components,Scott B.,,CAMPUS CLOSED,TH,12/26/2024,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,3,TH,2/6/2025,,QA - DAY 3,Day 3 - Cypress,Curtis D.,,4,TH,3/27/2025,,ANGULAR,Day #6: Services and Dependency Injection,Alberto G.,,31,TH,5/8/2025,,ANGULAR,Project Day,Alberto G.
7,F,8/23/2024,,HTML & CSS,CSS Introduction,Curtis D.,,11,F,9/27/2024,,JAVASCRIPT,Classes and Data Modeling,Trevor M.,,14,F,11/15/2024,,REACT.js,Project Day,Scott B.,,CAMPUS CLOSED,F,12/27/2024,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,5,F,2/7/2025,,HOSTING - DAY 5,AWS Compute and Storage,Clint P.,,5,F,3/28/2025,,ANGULAR,Day #7: Navigation and Routing: Additional Techniques,Megan M.,,32,F,5/9/2025,,ANGULAR,Project Presentation,Megan M.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 3,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 8,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 15,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 22,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 28,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 35,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR,,WEEK 41,DAY,DATE,,TOPIC,OUTLINE,INSTRUCTOR
8,M,8/26/2024,,HTML & CSS,Project Day,Substitute for Curtis D.,,12,M,9/30/2024,,JAVASCRIPT,Asynchronous (Async) and Promises,Trevor M.,,12,M,11/18/2024,,REACT.js,React Project Day,Trevor M.,,CAMPUS CLOSED,M,12/30/2024,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,4,M,2/10/2025,,QA - DAY 4,Day 4 - Selenium Testing,Chase S.,,6,M,3/31/2025,,ANGULAR,Day #8: Angular Reactive Forms - Part 1,Adrien D.,,1,M,5/12/2025,,SOFT SKILLS,Soft Skills Introduction & Finding Employment ,Paul R.
9,T,8/27/2024,,HTML & CSS,"CSS: Colors, Backgrounds, Text, Fonts, Font Awesome, Lists, Positioning",Trent R.,,13,T,10/1/2024,,JAVASCRIPT,"localStorage and sessionStorage
AJAX - Asynchronous JavaScript and XML
AJAX Review & HTTP Methods ",Scott B.,,13,T,11/19/2024,,REACT.js,React Project Day,Moses K.,,CAMPUS CLOSED,T,12/31/2024,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,6,T,2/11/2025,,HOSTING - DAY 6,AWS Database,Clint P.,,7,T,4/1/2025,,ANGULAR,Day #9: Angular Reactive Forms - Part 2,Adrien D.,,2,T,5/13/2025,,SOFT SKILLS,Interviewing & Feedback on your Personal Brand,Paul R.
10,W,8/28/2024,,HTML & CSS,Project Day,Substitute for Curtis D.,,14,W,10/2/2024,,JAVASCRIPT,"ES6 Modules
Regular Expressions (RegExp)",Trevor M.,,14,W,11/20/2024,,REACT.js,React Project Day,Trevor M.,,CAMPUS CLOSED,W,1/1/2025,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,1,W,2/12/2025,,DATABASE - DAY 1,MongoDB Introduction,Curtis D.,,CAMPUS CLOSED,W,4/2/2025,,NO CLASS,SPRING BREAK,N/A,,3,W,5/14/2025,,SOFT SKILLS,MOCK INTERVIEWS,Paul R.
11,TH,8/29/2024,,HTML & CSS,"Validation, HTML5 Regex, animations and transitions",Trent R.,,15,TH,10/3/2024,,JAVASCRIPT,Midterm Exam Practice / Take Home Midterm,Scott B.,,15,TH,11/21/2024,,REACT.js,React Project Day,Moses K.,,CAMPUS CLOSED,TH,1/2/2025,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,7,TH,2/13/2025,,HOSTING - DAY 7,AWS Architecture,Clint P.,,CAMPUS CLOSED,TH,4/3/2025,,NO CLASS,SPRING BREAK,N/A,,4,TH,5/15/2025,,SOFT SKILLS,User Experience to Software & Developers,Paul R.
12,F,8/30/2024,,SASS - Day 1,Introduction to Sass,Trent R.,,16,F,10/4/2024,,JAVASCRIPT,Introduction to Data Structures,Scott B.,,16,F,11/22/2024,,REACT.js,React Project Day,Trevor M.,,CAMPUS CLOSED,F,1/3/2025,,NO CLASS,CHRISTMAS HOLIDAY,N/A,,2,F,2/14/2025,,DATABASE - DAY 2,"CRUD (Create, Read, Update, Delete)",Thomas C.,,CAMPUS CLOSED,F,4/4/2025,,NO CLASS,SPRING BREAK,N/A,,5,F,5/16/2025,,SOFT SKILLS,"How Will You Fit Into a Dev Team? 
CLASS BREAKFAST POTLUCK - MTECH GRADUATION",Paul R.
